City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,aldinga beach,-35.2793,138.4604,299.37,73,89,4.58,AU,1702353320
253,mariental,-24.6333,17.9667,292.78,18,1,3.54,NA,1702353320
254,vilyuchinsk,52.9306,158.4028,268.3,79,40,2.28,RU,1702353320
255,puerto deseado,-47.7503,-65.8938,283.48,85,58,6.01,AR,1702353321
256,mersa matruh,31.3525,27.2453,285.26,82,20,2.06,EG,1702353321
257,uturoa,-16.7333,-151.4333,299.91,79,100,9.83,PF,1702353322
258,tabas,33.5959,56.9244,280.27,42,100,1.03,IR,1702353322
259,codrington,-38.2667,141.9667,309.64,25,93,4.74,AU,1702353323
260,tocopilla,-22.092,-70.1979,293.05,72,17,2.43,CL,1702353324
261,roma,43.2128,-75.4557,274.16,73,100,2.57,US,1702353173
262,glace bay,46.1969,-59.957,286.4,95,100,11.83,CA,1702353325
263,manukan,8.5333,123.1,301.83,74,54,6.89,PH,1702353325
264,tura,25.5198,90.2201,294.97,63,3,0.77,IN,1702353326
265,imbituba,-28.24,-48.6703,293.56,81,86,2.13,BR,1702353326
266,vorkuta,67.5,64.0,256.65,94,100,7.07,RU,1702353327
267,as sulayyil,20.4607,45.5779,284.29,32,85,1.55,SA,1702353327
268,behbahan,30.5959,50.2417,290.74,36,100,1.32,IR,1702353328
269,howrah,22.5892,88.3103,293.15,73,0,2.06,IN,1702353328
270,maragogi,-9.0122,-35.2225,298.15,75,2,3.57,BR,1702353329
271,puerto aysen,-45.4,-72.7,280.5,98,91,2.02,CL,1702353330
272,egilsstadir,65.2653,-14.3948,271.1,80,100,2.57,IS,1702353330
273,swakopmund,-22.6833,14.5333,289.81,85,30,0.45,NA,1702353330
274,arraial do cabo,-22.9661,-42.0278,295.81,90,34,3.93,BR,1702353331
275,cold lake,54.4502,-110.2017,262.12,79,100,2.57,CA,1702353331
276,hami,42.8,93.45,273.03,47,100,1.78,CN,1702353332
277,chos malal,-37.3781,-70.2709,290.52,37,87,2.34,AR,1702353332
278,notodden,59.5594,9.2585,263.89,96,79,1.96,NO,1702353333
279,almonte,37.2647,-6.5167,285.68,76,98,0.66,ES,1702353334
280,la ronge,55.1001,-105.2842,260.29,66,0,4.63,CA,1702353334
281,colac,-38.3333,143.5833,300.42,44,58,4.72,AU,1702353335
282,dunedin,-45.8742,170.5036,285.26,65,96,8.94,NZ,1702353177
283,wuwei,37.9281,102.6414,282.54,14,37,2.12,CN,1702353336
284,whakatane,-37.9585,176.9854,296.77,59,15,3.58,NZ,1702353337
285,marica,-22.9194,-42.8186,297.12,92,89,1.04,BR,1702353338
286,arkhangel'sk,64.5401,40.5433,259.21,85,100,3.0,RU,1702353339
287,kulhudhuffushi,6.6221,73.07,298.67,91,99,5.65,MV,1702353339
288,grand gaube,-20.0064,57.6608,300.58,77,58,0.89,MU,1702353339
289,anderson,34.5334,-82.6499,277.84,84,0,2.06,US,1702353340
290,saba,15.4667,-86.25,293.3,100,94,0.26,HN,1702353340
291,northam,51.0333,-4.2167,284.05,96,42,6.23,GB,1702353341
292,prince rupert,54.3161,-130.3201,276.98,81,0,10.8,CA,1702353341
293,oum hadjer,13.2954,19.6966,290.52,28,99,5.82,TD,1702353342
294,baikonur,45.6167,63.3167,254.36,50,0,7.92,KZ,1702353342
295,shwebo,22.5667,95.7,297.06,67,78,1.54,MM,1702353342
296,kuressaare,58.2481,22.5039,269.12,99,20,3.6,EE,1702353343
297,rundu,-17.9333,19.7667,294.5,63,98,2.11,NA,1702353344
298,lillehammer,61.1146,10.4674,263.52,98,99,1.29,NO,1702353345
299,sergeyevka,53.88,67.4158,241.54,96,6,2.1,KZ,1702353345
300,kamaishi,39.2667,141.8833,280.35,87,100,4.91,JP,1702353345
301,el granada,37.5027,-122.4694,287.23,91,100,6.69,US,1702353346
302,rio grande,-32.035,-52.0986,294.23,84,13,7.0,BR,1702353346
303,qamdo,31.1667,97.2333,269.81,33,0,3.54,CN,1702353347
304,kununurra,-15.7667,128.7333,309.14,38,58,3.6,AU,1702353347
305,trairi,-3.2778,-39.2689,299.1,78,6,4.29,BR,1702353233
306,nabire,-3.3667,135.4833,304.22,64,38,2.56,ID,1702353348
307,coari,-4.085,-63.1414,296.71,99,100,1.43,BR,1702353348
308,brookings,44.3114,-96.7984,272.15,60,0,9.26,US,1702353349
309,kavaratti,10.5669,72.642,301.79,66,85,1.26,IN,1702353349
310,garoowe,8.4054,48.4845,294.51,71,83,3.42,SO,1702353350
311,rovaniemi,66.5,25.7167,259.82,85,100,2.57,FI,1702353169
312,ponta delgada,37.7333,-25.6667,286.55,82,20,4.12,PT,1702353350
313,walvis bay,-22.9575,14.5053,289.87,82,45,3.6,NA,1702353351
314,tindouf,27.6711,-8.1474,285.4,32,97,2.06,DZ,1702353351
315,isla mujeres,21.2311,-86.731,297.13,72,100,8.56,MX,1702353352
316,tara,56.8944,74.371,241.08,97,21,1.99,RU,1702353352
317,gobabis,-22.45,18.9667,292.53,16,4,3.71,NA,1702353352
318,nemuro,43.3236,145.575,274.85,100,100,3.59,JP,1702353353
319,sovetskaya gavan',48.9723,140.2878,259.39,57,8,5.09,RU,1702353277
320,sandakan,5.8402,118.1179,302.97,79,40,4.12,MY,1702353353
321,fort st. john,56.2499,-120.8529,267.09,79,40,4.12,CA,1702353354
322,ermoupolis,37.4423,24.9425,286.54,76,78,3.09,GR,1702353354
323,kapuskasing,49.4169,-82.4331,265.2,93,100,6.17,CA,1702353355
324,luderitz,-26.6481,15.1594,290.05,55,1,8.38,NA,1702353355
325,abbeville,50.1,1.8333,283.42,94,98,3.82,FR,1702353356
326,weno,7.4515,151.8468,299.12,94,100,4.12,FM,1702353356
327,izmail,45.3493,28.8408,274.4,89,74,3.05,UA,1702353357
328,toliara,-23.35,43.6667,300.54,58,50,2.47,MG,1702353357
329,kuta,-8.7233,115.1723,304.12,66,20,5.36,ID,1702353357
330,prince george,53.9166,-122.753,270.84,95,100,1.03,CA,1702353358
331,lensk,60.7253,114.9278,244.96,96,96,2.23,RU,1702353358
332,magadan,59.5667,150.8,264.62,94,100,4.04,RU,1702353152
333,tamanrasset,22.785,5.5228,286.1,12,0,7.2,DZ,1702353359
334,vadso,70.0744,29.7487,263.24,79,40,6.17,NO,1702353359
335,terrace,54.5163,-128.6035,272.71,100,75,0.0,CA,1702353360
336,lakhdenpokh'ya,61.5198,30.1992,264.68,96,100,3.89,RU,1702353360
337,woolgoolga,-30.1106,153.2007,302.06,60,19,4.67,AU,1702353361
338,chimore,-16.9833,-65.1333,296.86,90,100,1.04,BO,1702353361
339,general roca,-39.0333,-67.5833,296.27,27,64,5.49,AR,1702353362
340,kourou,5.1552,-52.6478,298.18,90,30,2.65,GF,1702353362
341,nahiyat al fuhud,30.9697,46.7228,293.26,32,100,3.19,IQ,1702353363
342,rikaze,29.25,88.8833,272.92,27,2,0.48,CN,1702353364
343,babayevo,59.3936,35.9371,266.42,94,100,4.44,RU,1702353364
344,hepingjie,42.0597,126.9158,266.55,67,20,0.75,CN,1702353365
345,acapulco de juarez,16.8634,-99.8901,299.48,68,100,1.5,MX,1702353111
346,srandakan,-7.9386,110.2506,303.92,54,94,3.6,ID,1702353366
347,jabat,7.75,168.9751,300.98,76,74,9.07,MH,1702353367
